file,broker,company,rating,broker_clean
-2147480967.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147480966.pdf,YES Securities,TIPS Music Ltd,BUY,YES Securities
-2147480968.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147480970.pdf,HSIE Research,Siemens India Ltd,BUY,HSIE Research
-2147480972.pdf,YES Securities,Hero MotoCorp,BUY,YES Securities
-2147480974.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147480980.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147480981.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147480978.pdf,Nirmal Bang Institutional Equities Research,UNKNOWN,BUY,Nirmal Bang Institutional Equities Research
-2147480979.pdf,HSIE Research,UNKNOWN,ADD,HSIE Research
-2147480982.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147480986.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
-2147480989.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147480994.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
-2147480996.pdf,India Equity Institutional Research,Minda Corp,UNKNOWN,India Equity Institutional Research
-2147480995.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
-2147481004.pdf,HSIE Research,UNKNOWN,SELL,HSIE Research
-2147481003.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481002.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481009.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481008.pdf,Systematix Research,Indian Bank,BUY,Systematix Research
-2147481007.pdf,YES Securities,UNKNOWN,ADD,YES Securities
-2147481010.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481014.pdf,HSIE Research,UNKNOWN,ADD,HSIE Research
-2147481016.pdf,IDBI Capital,City Union Bank and ICICI Bank,BUY,IDBI Capital
-2147481015.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481017.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481021.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
-2147481025.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
-2147481024.pdf,IDBI Capital,We initiate coverage on Apeejay Surrendra Park Hotels Ltd,BUY,IDBI Capital
-2147481023.pdf,Indian Capital,UNKNOWN,UNKNOWN,Indian Capital
-2147481029.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
-2147481036.pdf,Equities Research,BEML Ltd,BUY,Equities Research
-2147481035.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
-2147481039.pdf,BFSI Research,UNKNOWN,UNKNOWN,BFSI Research
