file,broker,company,rating,broker_clean
Copy of -2147473999.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147473996.pdf,Axis Securities,Affle Ltd,BUY,Axis Securities
Copy of -2147474001.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147473995.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147473997.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147473993.pdf,HSIE Research,Karur Vysya Bank,BUY,HSIE Research
Copy of -2147474011.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474005.pdf,HSIE Research,Indian Oil Corp,BUY,HSIE Research
Copy of -2147474003.pdf,ICICI Securities,Pfizer Ltd,BUY,ICICI Securities
Copy of -2147474007.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
Copy of -2147474014.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474016.pdf,YES Securities,Indian Oil Corp,BUY,YES Securities
Copy of -2147474017.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474013.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474015.pdf,YES Securities,UNKNOWN,BUY,YES Securities
Copy of -2147474030.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474025.pdf,YES Securities,CreditAccess Grameen Limited,BUY,YES Securities
Copy of -2147474031.pdf,ICICI Securities,Pricol Ltd,BUY,ICICI Securities
Copy of -2147474023.pdf,Institutional Research,UNKNOWN,BUY,Institutional Research
Copy of -2147474029.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
Copy of -2147474024.pdf,IDBI Capital,UNKNOWN,SELL,IDBI Capital
Copy of -2147474026.pdf,Nirmal Bang Institutional Equities Research,Advanced Enzyme Technologies,ACCUMULATE,Nirmal Bang Institutional Equities Research
Copy of -2147474028.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474033.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
Copy of -2147474040.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474051.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474050.pdf,YES Securities,Amber Enterprises Ltd,BUY,YES Securities
Copy of -2147474046.pdf,YES Securities,Bharti Airtel Ltd,ADD,YES Securities
Copy of -2147474047.pdf,Institutional Research,UNKNOWN,BUY,Institutional Research
Copy of -2147474042.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474055.pdf,YES Securities,Sterlite Technologies,BUY,YES Securities
Copy of -2147474054.pdf,IDBI Capital,Kajaria Ceramic Ltd,BUY,IDBI Capital
Copy of -2147474053.pdf,YES Securities,Whirlpool of India Ltd,BUY,YES Securities
Copy of -2147474056.pdf,YES Securities,Chemplast Sanmar Ltd,BUY,YES Securities
Copy of -2147474062.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474068.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147474064.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147474072.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474076.pdf,YES Securities,ITC Ltd,ADD,YES Securities
Copy of -2147474073.pdf,HSIE Research,State Bank,BUY,HSIE Research
Copy of -2147474077.pdf,YES Securities,State Bank,BUY,YES Securities
Copy of -2147474074.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474081.pdf,ICICI Securities,State Bank,BUY,ICICI Securities
Copy of -2147474075.pdf,YES Securities,UNKNOWN,BUY,YES Securities
Copy of -2147474091.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474082.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474089.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474085.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
Copy of -2147474090.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474086.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474103.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474096.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474092.pdf,NBIE Research,UNKNOWN,ACCUMULATE,NBIE Research
Copy of -2147474099.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474097.pdf,ICICI Securities,ICICI Securities Limited,REDUCE,ICICI Securities
Copy of -2147474101.pdf,ICICI Securities,ICICI Securities Limited,SELL,ICICI Securities
Copy of -2147474100.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474102.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474108.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474105.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474104.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
Copy of -2147474113.pdf,Axis Securities,JK Lakshmi Cement Limited,BUY,Axis Securities
Copy of -2147474106.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474135.pdf,VP Research,UNKNOWN,BUY,VP Research
Copy of -2147474130.pdf,VP Research,UNKNOWN,REDUCE,VP Research
Copy of -2147474117.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474134.pdf,IDBI Capital,Somany Ceramics Ltd,BUY,IDBI Capital
Copy of -2147474129.pdf,VP Research,UNKNOWN,REDUCE,VP Research
Copy of -2147474136.pdf,VP Research,UNKNOWN,SELL,VP Research
Copy of -2147474209.pdf,VP Research,UNKNOWN,UNKNOWN,VP Research
Copy of -2147474190.pdf,VP Research,UNKNOWN,BUY,VP Research
Copy of -2147474217.pdf,Indostar Capital,UNKNOWN,BUY,Indostar Capital
Copy of -2147474218.pdf,VP Research,UNKNOWN,BUY,VP Research
Copy of -2147474232.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474233.pdf,YES Securities,Greenply Industries Ltd,BUY,YES Securities
Copy of -2147474227.pdf,VP Research,UNKNOWN,BUY,VP Research
Copy of -2147474236.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
Copy of -2147474231.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474234.pdf,ICICI Securities,ICICI Securities Limited,SELL,ICICI Securities
Copy of -2147474238.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474240.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
Copy of -2147474239.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147474243.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474246.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474247.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474253.pdf,IDBI Capital,Lemon Tree Hotels Ltd,BUY,IDBI Capital
Copy of -2147474255.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474254.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
Copy of -2147474248.pdf,VP Research,Birla Corp,UNKNOWN,VP Research
Copy of -2147474256.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474259.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474257.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474264.pdf,Nirmal Bang Institutional Equities Research,Mankind Pharma Ltd,ACCUMULATE,Nirmal Bang Institutional Equities Research
Copy of -2147474265.pdf,Nirmal Bang Institutional Equities Research,Hindustan Petroleum Corp,ACCUMULATE,Nirmal Bang Institutional Equities Research
Copy of -2147474270.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474274.pdf,Head of Research,UNKNOWN,BUY,Head of Research
Copy of -2147474273.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474268.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474271.pdf,ICICI Securities,ICICI Securities Limited,SELL,ICICI Securities
Copy of -2147474275.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474269.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
Copy of -2147474276.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474272.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474278.pdf,India Research,PSU Bank,OUTPERFORM,India Research
Copy of -2147474280.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
Copy of -2147474283.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147474284.pdf,ICICI Securities,HDFC Bank,BUY,ICICI Securities
Copy of -2147474277.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474292.pdf,NBIE Research,UNKNOWN,BUY,NBIE Research
Copy of -2147474294.pdf,Nirmal Bang Institutional Equities Research,We hosted the management of JB Chemicals and Pharmaceuticals Ltd,BUY,Nirmal Bang Institutional Equities Research
Copy of -2147474287.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474296.pdf,ICICI Securities,UNKNOWN,UNKNOWN,ICICI Securities
Copy of -2147474289.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474290.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474295.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474298.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474301.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474306.pdf,IDBI Capital,ICICI Bank,BUY,IDBI Capital
Copy of -2147474302.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474305.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147474310.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474313.pdf,YES Securities,Ahluwalia Contracts India Ltd,REDUCE,YES Securities
Copy of -2147474314.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474315.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474308.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474309.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474322.pdf,Nirmal Bang Institutional Equities Research,We hosted the management of Eris Lifesciences Ltd,BUY,Nirmal Bang Institutional Equities Research
Copy of -2147474318.pdf,Axis Securities,Star Cement Ltd,BUY,Axis Securities
Copy of -2147474326.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474319.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474338.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474333.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474329.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474335.pdf,VP Research,UNKNOWN,BUY,VP Research
Copy of -2147474331.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
Copy of -2147474336.pdf,HSIE Research,UNKNOWN,BUY,HSIE Research
Copy of -2147474334.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474339.pdf,NBIE Research,We recently hosted the management of Mahindra and Mahindra Ltd,BUY,NBIE Research
Copy of -2147474343.pdf,Nirmal Bang Institutional Equities Research,State Bank,BUY,Nirmal Bang Institutional Equities Research
Copy of -2147474344.pdf,Head of Research,Marico Ltd,ACCUMULATE,Head of Research
Copy of -2147474345.pdf,Retail Equity Research,Granules India Ltd,BUY,Retail Equity Research
Copy of -2147474349.pdf,NBIE Research,We hosted the management of Voltas Ltd,ACCUMULATE,NBIE Research
Copy of -2147474350.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474354.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474353.pdf,YES Securities,Ujjivan Small Finance Bank,BUY,YES Securities
Copy of -2147474360.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474359.pdf,Nirmal Bang Institutional Equities Research,We hosted the management of Sun Pharma Ltd,BUY,Nirmal Bang Institutional Equities Research
Copy of -2147474364.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
Copy of -2147474362.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474367.pdf,HSIE Research,UNKNOWN,ADD,HSIE Research
Copy of -2147474376.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474377.pdf,HSIE Research,UNKNOWN,REDUCE,HSIE Research
Copy of -2147474370.pdf,HSIE Research,UNKNOWN,REDUCE,HSIE Research
Copy of -2147474388.pdf,Nirmal Bang Institutional Equities Research,UNKNOWN,BUY,Nirmal Bang Institutional Equities Research
Copy of -2147474387.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474386.pdf,ICICI Securities,ICICI Securities Ltd,BUY,ICICI Securities
Copy of -2147474384.pdf,Nirmal Bang Institutional Equities Research,UNKNOWN,OUTPERFORM,Nirmal Bang Institutional Equities Research
Copy of -2147474383.pdf,NBIE Research,UNKNOWN,UNKNOWN,NBIE Research
Copy of -2147474381.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
Copy of -2147474382.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474379.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474385.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474394.pdf,ICICI Securities,Trent Ltd,BUY,ICICI Securities
Copy of -2147474392.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474393.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147474389.pdf,Systematix Research,We return positive from the analyst meeting hosted by MOIL Ltd,BUY,Systematix Research
Copy of -2147474404.pdf,Retail Equity Research,Amara Raja Batteries Ltd,BUY,Retail Equity Research
Copy of -2147474401.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474402.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474400.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474399.pdf,ICICI Securities,ICICI Securities Limited,SELL,ICICI Securities
Copy of -2147474406.pdf,YES Securities,Greenpanel Industries Ltd,BUY,YES Securities
Copy of -2147474409.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474410.pdf,Retail Equity Research,NATCO Pharma Ltd,BUY,Retail Equity Research
Copy of -2147474418.pdf,IDBI Capital,UNKNOWN,UNKNOWN,IDBI Capital
Copy of -2147474414.pdf,Axis Securities,LUPIN Ltd,BUY,Axis Securities
Copy of -2147474417.pdf,Systematix Research,UNKNOWN,UNKNOWN,Systematix Research
Copy of -2147474416.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474411.pdf,ICICI Securities,ICICI Securities Limited,SELL,ICICI Securities
Copy of -2147474426.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474428.pdf,Banking & Capital,UNKNOWN,UNKNOWN,Banking & Capital
Copy of -2147474420.pdf,Nirmal Bang Institutional Equities Research,UNKNOWN,BUY,Nirmal Bang Institutional Equities Research
Copy of -2147474422.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474421.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474431.pdf,IDBI Capital,HDFC Bank,BUY,IDBI Capital
Copy of -2147474436.pdf,ICICI Securities,ICICI Securities Limited,REDUCE,ICICI Securities
Copy of -2147474432.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474429.pdf,Head of Research,UNKNOWN,BUY,Head of Research
Copy of -2147474438.pdf,YES Securities,JK Tyre and Industries Ltd,UNKNOWN,YES Securities
Copy of -2147474430.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474443.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147474447.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474442.pdf,YES Securities,UNKNOWN,BUY,YES Securities
Copy of -2147474446.pdf,Systematix Research,Cantabil Retail India Ltd,UNKNOWN,Systematix Research
Copy of -2147474448.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474445.pdf,YES Securities,Coforge Ltd,BUY,YES Securities
Copy of -2147474439.pdf,YES Securities,Apollo Tyres Ltd,OUTPERFORM,YES Securities
Copy of -2147474455.pdf,Axis Securities,JTL Industries Ltd,BUY,Axis Securities
Copy of -2147474457.pdf,YES Securities,Crompton Greaves CE Ltd,BUY,YES Securities
Copy of -2147474456.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474450.pdf,YES Securities,UNKNOWN,ADD,YES Securities
Copy of -2147474451.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147474452.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147474454.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147474460.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474467.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474462.pdf,ICICI Securities,ICICI Securities Limited,REDUCE,ICICI Securities
Copy of -2147474466.pdf,IDBI Capital,We interacted with the management of Canfin Homes Ltd,ADD,IDBI Capital
Copy of -2147474472.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474478.pdf,YES Securities,Marico Ltd,ADD,YES Securities
Copy of -2147474476.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474474.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474471.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474475.pdf,Axis Securities,UltraTech Cement Ltd,BUY,Axis Securities
Copy of -2147474477.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474484.pdf,Nirmal Bang Institutional Equities Research,UNKNOWN,SELL,Nirmal Bang Institutional Equities Research
Copy of -2147474481.pdf,Systematix Research,EPL Limited,BUY,Systematix Research
Copy of -2147474479.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474486.pdf,VP Research,UNKNOWN,REDUCE,VP Research
Copy of -2147474488.pdf,NBIE Research,UNKNOWN,UNDERPERFORM,NBIE Research
Copy of -2147474487.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474480.pdf,YES Securities,Birla Corp,BUY,YES Securities
Copy of -2147474482.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
Copy of -2147474498.pdf,VP Research,UNKNOWN,SELL,VP Research
Copy of -2147474497.pdf,IDBI Capital,ICICI Bank,BUY,IDBI Capital
Copy of -2147474500.pdf,YES Securities,UNKNOWN,BUY,YES Securities
Copy of -2147474505.pdf,Axis Securities,Federal Bank Ltd,BUY,Axis Securities
Copy of -2147474499.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474512.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474517.pdf,YES Securities,UNKNOWN,BUY,YES Securities
Copy of -2147474513.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474516.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474515.pdf,Systematix Research,Aditya Vision Ltd,SELL,Systematix Research
Copy of -2147474510.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474523.pdf,Systematix Research,UNKNOWN,UNKNOWN,Systematix Research
Copy of -2147474521.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147474525.pdf,YES Securities,Supreme Industries Ltd,NEUTRAL,YES Securities
Copy of -2147474528.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474519.pdf,ICICI Securities,UNKNOWN,UNKNOWN,ICICI Securities
Copy of -2147474527.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474520.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147474534.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474529.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474533.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474538.pdf,YES Securities,UNKNOWN,ADD,YES Securities
Copy of -2147474530.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474548.pdf,Systematix Research,UNKNOWN,HOLD,Systematix Research
Copy of -2147474545.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474543.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474541.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474540.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474546.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147474547.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474557.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147474551.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474562.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147474559.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474563.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474564.pdf,YES Securities,Amber Enterprises Ltd,BUY,YES Securities
Copy of -2147474573.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
Copy of -2147474571.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474572.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474577.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474578.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474574.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474586.pdf,ICICI Securities,ICICI Securities Limited,ADD,ICICI Securities
Copy of -2147474582.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474588.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474580.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474585.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474587.pdf,Axis Securities,The Bank,UNKNOWN,Axis Securities
Copy of -2147474596.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
Copy of -2147474590.pdf,ICICI Securities,ICICI Securities Limited,SELL,ICICI Securities
Copy of -2147474598.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474589.pdf,Systematix Research,UNKNOWN,UNKNOWN,Systematix Research
Copy of -2147474608.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474600.pdf,YES Securities,HCL Technologies Ltd,ADD,YES Securities
Copy of -2147474602.pdf,IDBI Capital,HCL Technologies,HOLD,IDBI Capital
Copy of -2147474599.pdf,YES Securities,UNKNOWN,ADD,YES Securities
Copy of -2147474603.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474601.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474604.pdf,Axis Securities,HCL tech Ltd,HOLD,Axis Securities
Copy of -2147474607.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474618.pdf,Systematix Research,Federal Bank,BUY,Systematix Research
Copy of -2147474615.pdf,IDBI Capital,UNKNOWN,HOLD,IDBI Capital
Copy of -2147474616.pdf,Systematix Research,UNKNOWN,SELL,Systematix Research
Copy of -2147474614.pdf,Reliance Securities,Reliance Securities Limited,UNKNOWN,Reliance Securities
Copy of -2147474624.pdf,ICICI Securities,UNKNOWN,BUY,ICICI Securities
Copy of -2147474625.pdf,ICICI Securities,Shalby Ltd,BUY,ICICI Securities
Copy of -2147474623.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
Copy of -2147474621.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474622.pdf,Axis Securities,Federal Bank Ltd,BUY,Axis Securities
Copy of -2147474628.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474620.pdf,ICICI Securities,ICICI Securities Limited,BUY,ICICI Securities
Copy of -2147474619.pdf,Axis Securities,Wipro Ltd,HOLD,Axis Securities
Copy of -2147474632.pdf,Nirmal Bang Institutional Equities Research,Federal Bank,BUY,Nirmal Bang Institutional Equities Research
Copy of -2147474633.pdf,NBIE Research,Wipro Ltd,SELL,NBIE Research
Copy of -2147474630.pdf,NBIE Research,UNKNOWN,SELL,NBIE Research
Copy of -2147474629.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147474631.pdf,NBIE Research,HCL Technologies,SELL,NBIE Research
Copy of -2147474647.pdf,Systematix Research,UNKNOWN,UNKNOWN,Systematix Research
Copy of -2147474641.pdf,ICICI Securities,ICICI Securities Limited,HOLD,ICICI Securities
Copy of -2147474639.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147474642.pdf,Axis Securities,Bandhan Bank Ltd,BUY,Axis Securities
Copy of -2147474643.pdf,ICICI Securities,ICICI Securities Limited,UNKNOWN,ICICI Securities
Copy of -2147474656.pdf,YES Securities,LTIMindtree Ltd,BUY,YES Securities
Copy of -2147474651.pdf,IDBI Capital,UNKNOWN,BUY,IDBI Capital
Copy of -2147474650.pdf,Revenue for HDFC Securities,Loan growth was driven by strong traction in Commercial and Rural Bank,BUY,Revenue for HDFC Securities
Copy of -2147474649.pdf,Systematix Research,UNKNOWN,BUY,Systematix Research
Copy of -2147474655.pdf,Systematix Research,HDFC Bank,BUY,Systematix Research
